,Observations,Annotations,latitude,longitude,ligne,colonne
0,ign-FNF-2009/observation_irc_2009/915_6890_4_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_4_1_0M50_pfnf_nch.tif,915,6890,4,1
1,ign-FNF-2009/observation_irc_2009/995_6850_5_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6850_5_7_0M50_pfnf_nch.tif,995,6850,5,7
2,ign-FNF-2009/observation_irc_2009/1015_6895_3_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_3_2_0M50_pfnf_nch.tif,1015,6895,3,2
3,ign-FNF-2009/observation_irc_2009/940_6905_1_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6905_1_2_0M50_pfnf_nch.tif,940,6905,1,2
4,ign-FNF-2009/observation_irc_2009/975_6850_3_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6850_3_7_0M50_pfnf_nch.tif,975,6850,3,7
5,ign-FNF-2009/observation_irc_2009/915_6915_4_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6915_4_3_0M50_pfnf_nch.tif,915,6915,4,3
6,ign-FNF-2009/observation_irc_2009/975_6825_8_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_8_5_0M50_pfnf_nch.tif,975,6825,8,5
7,ign-FNF-2009/observation_irc_2009/945_6925_9_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_9_1_0M50_pfnf_nch.tif,945,6925,9,1
8,ign-FNF-2009/observation_irc_2009/940_6905_9_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6905_9_7_0M50_pfnf_nch.tif,940,6905,9,7
9,ign-FNF-2009/observation_irc_2009/1015_6895_1_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_1_8_0M50_pfnf_nch.tif,1015,6895,1,8
10,ign-FNF-2009/observation_irc_2009/975_6825_7_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_7_4_0M50_pfnf_nch.tif,975,6825,7,4
11,ign-FNF-2009/observation_irc_2009/915_6890_9_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6890_9_3_0M50_pfnf_nch.tif,915,6890,9,3
12,ign-FNF-2009/observation_irc_2009/975_6850_7_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6850_7_6_0M50_pfnf_nch.tif,975,6850,7,6
13,ign-FNF-2009/observation_irc_2009/925_6860_5_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/925_6860_5_1_0M50_pfnf_nch.tif,925,6860,5,1
14,ign-FNF-2009/observation_irc_2009/975_6825_2_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_2_6_0M50_pfnf_nch.tif,975,6825,2,6
15,ign-FNF-2009/observation_irc_2009/915_6825_7_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6825_7_8_0M50_pfnf_nch.tif,915,6825,7,8
16,ign-FNF-2009/observation_irc_2009/995_6850_2_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6850_2_7_0M50_pfnf_nch.tif,995,6850,2,7
17,ign-FNF-2009/observation_irc_2009/975_6850_4_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6850_4_2_0M50_pfnf_nch.tif,975,6850,4,2
18,ign-FNF-2009/observation_irc_2009/940_6905_5_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6905_5_1_0M50_pfnf_nch.tif,940,6905,5,1
19,ign-FNF-2009/observation_irc_2009/915_6825_9_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6825_9_2_0M50_pfnf_nch.tif,915,6825,9,2
20,ign-FNF-2009/observation_irc_2009/995_6895_5_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6895_5_7_0M50_pfnf_nch.tif,995,6895,5,7
21,ign-FNF-2009/observation_irc_2009/975_6850_1_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6850_1_2_0M50_pfnf_nch.tif,975,6850,1,2
22,ign-FNF-2009/observation_irc_2009/1015_6895_7_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/1015_6895_7_8_0M50_pfnf_nch.tif,1015,6895,7,8
23,ign-FNF-2009/observation_irc_2009/980_6825_1_4_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/980_6825_1_4_0M50_pfnf_nch.tif,980,6825,1,4
24,ign-FNF-2009/observation_irc_2009/995_6895_4_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6895_4_2_0M50_pfnf_nch.tif,995,6895,4,2
25,ign-FNF-2009/observation_irc_2009/975_6835_5_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6835_5_8_0M50_pfnf_nch.tif,975,6835,5,8
26,ign-FNF-2009/observation_irc_2009/945_6845_9_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6845_9_5_0M50_pfnf_nch.tif,945,6845,9,5
27,ign-FNF-2009/observation_irc_2009/940_6925_9_3_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6925_9_3_0M50_pfnf_nch.tif,940,6925,9,3
28,ign-FNF-2009/observation_irc_2009/915_6825_3_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6825_3_6_0M50_pfnf_nch.tif,915,6825,3,6
29,ign-FNF-2009/observation_irc_2009/940_6925_5_1_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6925_5_1_0M50_pfnf_nch.tif,940,6925,5,1
30,ign-FNF-2009/observation_irc_2009/915_6915_1_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6915_1_2_0M50_pfnf_nch.tif,915,6915,1,2
31,ign-FNF-2009/observation_irc_2009/995_6895_7_7_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/995_6895_7_7_0M50_pfnf_nch.tif,995,6895,7,7
32,ign-FNF-2009/observation_irc_2009/915_6915_7_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/915_6915_7_6_0M50_pfnf_nch.tif,915,6915,7,6
33,ign-FNF-2009/observation_irc_2009/945_6925_5_2_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/945_6925_5_2_0M50_pfnf_nch.tif,945,6925,5,2
34,ign-FNF-2009/observation_irc_2009/925_6860_8_8_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/925_6860_8_8_0M50_pfnf_nch.tif,925,6860,8,8
35,ign-FNF-2009/observation_irc_2009/940_6925_6_5_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/940_6925_6_5_0M50_pfnf_nch.tif,940,6925,6,5
36,ign-FNF-2009/observation_irc_2009/975_6825_8_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_8_6_0M50_pfnf_nch.tif,975,6825,8,6
37,ign-FNF-2009/observation_irc_2009/975_6825_6_6_observation_irc.tif,ign-FNF-2009/annotation_pfnf_bdforv2_nch/975_6825_6_6_0M50_pfnf_nch.tif,975,6825,6,6
