Observations,Annotations,latitude,longitude,ligne,colonne,coord
ign-FNF-2009/train/observations/945_6845_4_1_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_4_1_0M50_pfnf_nch.tif,945,6845,4,1,945_6845
ign-FNF-2009/train/observations/980_6825_2_7_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_2_7_0M50_pfnf_nch.tif,980,6825,2,7,980_6825
ign-FNF-2009/train/observations/945_6925_7_8_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_7_8_0M50_pfnf_nch.tif,945,6925,7,8,945_6925
ign-FNF-2009/train/observations/955_6915_4_1_observation_irc.tif,ign-FNF-2009/train/annotations/955_6915_4_1_0M50_pfnf_nch.tif,955,6915,4,1,955_6915
ign-FNF-2009/train/observations/915_6825_6_7_observation_irc.tif,ign-FNF-2009/train/annotations/915_6825_6_7_0M50_pfnf_nch.tif,915,6825,6,7,915_6825
ign-FNF-2009/train/observations/980_6825_2_3_observation_irc.tif,ign-FNF-2009/train/annotations/980_6825_2_3_0M50_pfnf_nch.tif,980,6825,2,3,980_6825
ign-FNF-2009/train/observations/945_6925_4_9_observation_irc.tif,ign-FNF-2009/train/annotations/945_6925_4_9_0M50_pfnf_nch.tif,945,6925,4,9,945_6925
ign-FNF-2009/train/observations/975_6850_8_3_observation_irc.tif,ign-FNF-2009/train/annotations/975_6850_8_3_0M50_pfnf_nch.tif,975,6850,8,3,975_6850
ign-FNF-2009/train/observations/940_6905_1_8_observation_irc.tif,ign-FNF-2009/train/annotations/940_6905_1_8_0M50_pfnf_nch.tif,940,6905,1,8,940_6905
ign-FNF-2009/train/observations/945_6845_5_7_observation_irc.tif,ign-FNF-2009/train/annotations/945_6845_5_7_0M50_pfnf_nch.tif,945,6845,5,7,945_6845
ign-FNF-2009/train/observations/995_6895_1_4_observation_irc.tif,ign-FNF-2009/train/annotations/995_6895_1_4_0M50_pfnf_nch.tif,995,6895,1,4,995_6895
